"prodcodeid","dmdid","bnfcode","termfromemis","dmdproductdescription","bnfname","productname","dmdlevel","vpid","atc","formulation","routeofadministration","drugsubstancename","substancestrength","category","term"
"1914841000033115","36059311000001100","0302000N0AAACAC","fluticasone propionate 100microgram inhalation powder blisters with device","fluticasone propionate 100microgram inhalation powder blisters with device","fluticasone propionate100microg inhalation pdr blist","fluticasone propionate 100microgram inhalation powder blisters with device","VMP","36059311000001100","R03BA05","inhalation powder","inhalation","fluticasone propionate","100.000microgram","ics","Fluticasone propionate 100microgram inhalation powder blisters with device"
"1914941000033111","36059411000001107","0302000N0AAAEAE","fluticasone propionate 250microgram inhalation powder blisters with device","fluticasone propionate 250microgram inhalation powder blisters with device","fluticasone propionate 250mcg inhalation pdr blist + dev","fluticasone propionate 250microgram inhalation powder blisters with device","VMP","36059411000001107","R03BA05","inhalation powder","inhalation","fluticasone propionate","250.000microgram","ics","Fluticasone propionate 250microgram inhalation powder blisters with device"
"1915041000033111","36059711000001101","0302000N0AAAPAP","fluticasone propionate 500microgram inhalation powder blisters with device","fluticasone propionate 500microgram inhalation powder blisters with device","fluticasone propionate 500microg inhalation pdr blist","fluticasone propionate 500microgram inhalation powder blisters with device","VMP","36059711000001101","R03BA05","inhalation powder","inhalation","fluticasone propionate","500.000microgram","ics","Fluticasone propionate 500microgram inhalation powder blisters with device"
"1924941000033118","324178009","0501050C0AAABAB","erythromycin 250mg gastro-resistant tablets","erythromycin 250mg gastro-resistant tablets","erythromycin 250mg gastro-resistant tablets","erythromycin 250mg gastro-resistant tablets","VMP","324178009","J01FA01","gastro-resistant tablet","oral","erythromycin","250.000mg","abx","Erythromycin 250mg gastro-resistant tablets"
"2067541000033118","398511000001105","0302000N0BBAYBA","flixotide 125micrograms/dose evohaler (glaxosmithkline uk ltd)","flixotide 125micrograms/dose evohaler (glaxosmithkline uk ltd)","flixotide 125micrograms/dose evohaler","flixotide 125micrograms/dose evohaler","AMP","39111211000001103","R03BA05","pressurised inhalation","inhalation","fluticasone propionate","125.000microgram/1.000dose","ics","Flixotide 125micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)"
"2067641000033117","2831211000001109","0302000N0BBBABC","flixotide 250micrograms/dose evohaler (glaxosmithkline uk ltd)","flixotide 250micrograms/dose evohaler (glaxosmithkline uk ltd)","flixotide 250micrograms/dose evohaler","flixotide 250micrograms/dose evohaler","AMP","39111411000001104","R03BA05","pressurised inhalation","inhalation","fluticasone propionate","250.000microgram/1.000dose","ics","Flixotide 250micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)"
"2067741000033114","39111211000001103","0302000N0AABABA","fluticasone 125micrograms/dose inhaler cfc free","fluticasone 125micrograms/dose inhaler cfc free","fluticasone 125micrograms/dose inhaler cfc free","fluticasone 125micrograms/dose inhaler cfc free","VMP","39111211000001103","R03BA05","pressurised inhalation","inhalation","fluticasone propionate","125.000microgram/1.000dose","ics","Fluticasone 125micrograms/dose inhaler CFC free"
"2067841000033116","39111411000001104","0302000N0AABCBC","fluticasone 250micrograms/dose inhaler cfc free","fluticasone 250micrograms/dose inhaler cfc free","fluticasone 250micrograms/dose inhaler cfc free","fluticasone 250micrograms/dose inhaler cfc free","VMP","39111411000001104","R03BA05","pressurised inhalation","inhalation","fluticasone propionate","250.000microgram/1.000dose","ics","Fluticasone 250micrograms/dose inhaler CFC free"
"2086541000033119","106511000001103","0301011R0BIAFAP","salamol 100micrograms/dose inhaler cfc free (teva uk ltd)","salamol 100micrograms/dose inhaler cfc free (teva uk ltd)","salamol 100micrograms/dose inhaler cfc free (teva)","salamol 100micrograms/dose inhaler cfc free","AMP","39113611000001102","R03AC02","pressurised inhalation","inhalation","salbutamol sulfate","100.000microgram/1.000dose","saba","Salamol 100micrograms/dose inhaler CFC free (Teva UK Ltd)"
"2147241000033117","453611000001102","0302000N0BCADBE","seretide 50 evohaler (glaxosmithkline uk ltd)","seretide 50 evohaler (glaxosmithkline uk ltd)","seretide 50 evohaler","seretide 50 evohaler","AMP","39111011000001108","R03AK06","pressurised inhalation","inhalation","fluticasone propionate/ salmeterol xinafoate","50.000microgram/1.000dose + 25.000microgram/1.000dose","laba-ics","Seretide 50 Evohaler (GlaxoSmithKline UK Ltd)"
"2147341000033110","810211000001105","0302000N0BCAEBF","seretide 125 evohaler (glaxosmithkline uk ltd)","seretide 125 evohaler (glaxosmithkline uk ltd)","seretide 125 evohaler","seretide 125 evohaler","AMP","39111111000001109","R03AK06","pressurised inhalation","inhalation","fluticasone propionate/ salmeterol xinafoate","125.000microgram/1.000dose + 25.000microgram/1.000dose","laba-ics","Seretide 125 Evohaler (GlaxoSmithKline UK Ltd)"
"2147441000033116","539811000001106","0302000N0BCAFBG","seretide 250 evohaler (glaxosmithkline uk ltd)","seretide 250 evohaler (glaxosmithkline uk ltd)","seretide 250 evohaler","seretide 250 evohaler","AMP","39111311000001106","R03AK06","pressurised inhalation","inhalation","fluticasone propionate/ salmeterol xinafoate","250.000microgram/1.000dose + 25.000microgram/1.000dose","laba-ics","Seretide 250 Evohaler (GlaxoSmithKline UK Ltd)"
"2148441000033115","39110911000001100","0302000N0AABHBH","fluticasone 50micrograms/dose inhaler cfc free","fluticasone 50micrograms/dose inhaler cfc free","fluticasone 50micrograms/dose inhaler cfc free","fluticasone 50micrograms/dose inhaler cfc free","VMP","39110911000001100","R03BA05","pressurised inhalation","inhalation","fluticasone propionate","50.000microgram/1.000dose","ics","Fluticasone 50micrograms/dose inhaler CFC free"
"2148541000033119","726611000001102","0302000N0BBBBBH","flixotide 50micrograms/dose evohaler (glaxosmithkline uk ltd)","flixotide 50micrograms/dose evohaler (glaxosmithkline uk ltd)","flixotide 50micrograms/dose evohaler","flixotide 50micrograms/dose evohaler","AMP","39110911000001100","R03BA05","pressurised inhalation","inhalation","fluticasone propionate","50.000microgram/1.000dose","ics","Flixotide 50micrograms/dose Evohaler (GlaxoSmithKline UK Ltd)"
"2174141000033117","35937211000001107","0301011R0AAAFAF","salbutamol 95micrograms/dose dry powder inhaler","salbutamol 95micrograms/dose dry powder inhaler","salbutamol 95micrograms/dose dry powder inhaler","salbutamol 95micrograms/dose dry powder inhaler","VMP","35937211000001107","R03AC02","inhalation powder","inhalation","salbutamol sulfate","95.000microgram/1.000dose","saba","Salbutamol 95micrograms/dose dry powder inhaler"
"219741000033111","39735111000001108","0501021A0AAAEAE","cefaclor 500mg capsules","cefaclor 500mg capsules","cefaclor 500mg capsules","cefaclor 500mg capsules","VMP","39735111000001108","J01DC04","capsule","oral","cefaclor monohydrate","500.000mg","abx","Cefaclor 500mg capsules"
"220441000033115","39735011000001107","0501021A0AAAAAA","cefaclor 250mg capsules","cefaclor 250mg capsules","cefaclor 250mg capsules","cefaclor 250mg capsules","VMP","39735011000001107","J01DC04","capsule","oral","cefaclor monohydrate","250.000mg","abx","Cefaclor 250mg capsules"
"22741000033118","597011000001101","0301011R0BMAAAP","airomir 100micrograms/dose inhaler (teva uk ltd)","airomir 100micrograms/dose inhaler (teva uk ltd)","airomir 100micrograms/dose inhaler","airomir 100micrograms/dose inhaler","AMP","39113611000001102","R03AC02","pressurised inhalation","inhalation","salbutamol sulfate","100.000microgram/1.000dose","saba","Airomir 100micrograms/dose inhaler (Teva UK Ltd)"
"227741000033114","36134211000001100","0501021A0AAAGAG","cefaclor 375mg modified-release tablets","cefaclor 375mg modified-release tablets","cefaclor 375mg modified-release tablets","cefaclor 375mg modified-release tablets","VMP","36134211000001100","J01DC04","modified-release tablet","oral","cefaclor monohydrate","375.000mg","abx","Cefaclor 375mg modified-release tablets"
"228941000033111","323874002","0501021K0AAADAD","cefuroxime 125mg granules sachets","cefuroxime 125mg granules sachets","cefuroxime 125mg granules sachets","cefuroxime 125mg granules sachets","VMP","323874002","J01DC02","granules","oral","cefuroxime axetil","125.000mg","abx","Cefuroxime 125mg granules sachets"
"230041000033114","36134411000001101","0501021C0AAABAB","cefixime 100mg/5ml oral suspension","cefixime 100mg/5ml oral suspension","cefixime 100mg/5ml oral suspension","cefixime 100mg/5ml oral suspension","VMP","36134411000001101","J01DD08","oral suspension","oral","cefixime","20.000mg/1.000ml","abx","Cefixime 100mg/5ml oral suspension"
"230141000033113","323872003","0501021K0AAACAC","cefuroxime 125mg/5ml oral suspension","cefuroxime 125mg/5ml oral suspension","cefuroxime 125mg/5ml oral suspension","cefuroxime 125mg/5ml oral suspension","VMP","323872003","J01DC02","oral suspension","oral","cefuroxime axetil","25.000mg/1.000ml","abx","Cefuroxime 125mg/5ml oral suspension"
"230741000033112","36134011000001105","0501021A0AAAJAJ","cefaclor 125mg/5ml oral suspension sugar free","cefaclor 125mg/5ml oral suspension sugar free","cefaclor 125mg/5ml oral suspension sugar free","cefaclor 125mg/5ml oral suspension sugar free","VMP","36134011000001105","J01DC04","oral suspension","oral","cefaclor monohydrate","25.000mg/1.000ml","abx","Cefaclor 125mg/5ml oral suspension sugar free"
"230841000033119","36134111000001106","0501021A0AAAKAK","cefaclor 250mg/5ml oral suspension sugar free","cefaclor 250mg/5ml oral suspension sugar free","cefaclor 250mg/5ml oral suspension sugar free","cefaclor 250mg/5ml oral suspension sugar free","VMP","36134111000001106","J01DC04","oral suspension","oral","cefaclor monohydrate","50.000mg/1.000ml","abx","Cefaclor 250mg/5ml oral suspension sugar free"
"230941000033110","323792004","0501021A0AAABAB","cefaclor 125mg/5ml oral suspension","cefaclor 125mg/5ml oral suspension","cefaclor 125mg/5ml oral suspension","cefaclor 125mg/5ml oral suspension","VMP","323792004","J01DC04","oral suspension","oral","cefaclor monohydrate","25.000mg/1.000ml","abx","Cefaclor 125mg/5ml oral suspension"
"231741000033119","323793009","0501021A0AAACAC","cefaclor 250mg/5ml oral suspension","cefaclor 250mg/5ml oral suspension","cefaclor 250mg/5ml oral suspension","cefaclor 250mg/5ml oral suspension","VMP","323793009","J01DC04","oral suspension","oral","cefaclor monohydrate","50.000mg/1.000ml","abx","Cefaclor 250mg/5ml oral suspension"
"232741000033113","323973007","0501021C0AAAAAA","cefixime 200mg tablets","cefixime 200mg tablets","cefixime 200mg tablets","cefixime 200mg tablets","VMP","323973007","J01DD08","tablet","oral","cefixime","200.000mg","abx","Cefixime 200mg tablets"
"233041000033118","39694611000001101","0501021K0AAABAB","cefuroxime 250mg tablets","cefuroxime 250mg tablets","cefuroxime 250mg tablets","cefuroxime 250mg tablets","VMP","39694611000001101","J01DC02","tablet","oral","cefuroxime axetil","250.000mg","abx","Cefuroxime 250mg tablets"
"235441000033111","39684511000001101","0501021K0AAAAAA","cefuroxime 125mg tablets","cefuroxime 125mg tablets","cefuroxime 125mg tablets","cefuroxime 125mg tablets","VMP","39684511000001101","J01DC02","tablet","oral","cefuroxime axetil","125.000mg","abx","Cefuroxime 125mg tablets"
"2509341000033118","NA","NA","*prednisolone tablets","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ocs","*Prednisolone Tablets"
"2509441000033112","NA","NA","*prednisolone granules","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ocs",NA
"2509541000033113","NA","NA","*prednisolone liquid","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ocs","*Prednisolone Liquid"
"2509641000033114","NA","NA","*prednisolone powder","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ocs",NA
"2509741000033117","NA","NA","*prednisolone pills (sucrose)","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","ocs","*Prednisolone Pills (Sucrose)"
"258741000033114","417611000001101","0501120L0BBABAF","ciproxin 500mg tablets (bayer plc)","ciproxin 500mg tablets (bayer plc)","ciproxin 500mg tablets","ciproxin 500mg tablets","AMP","39687811000001107","J01MA02","tablet","oral","ciprofloxacin hydrochloride","500.000mg","abx","Ciproxin 500mg tablets (Bayer Plc)"
"2587541000033118","3294211000001101","0302000K0BDAAAL","symbicort 100/6 turbohaler (astrazeneca uk ltd)","symbicort 100/6 turbohaler (astrazeneca uk ltd)","symbicort 100/6 turbohaler","symbicort 100/6 turbohaler","AMP","35912011000001109","R03AK07","inhalation powder","inhalation","budesonide/ formoterol fumarate dihydrate","100.000microgram/1.000dose + 6.000microgram/1.000dose","laba-ics","Symbicort 100/6 Turbohaler (AstraZeneca UK Ltd)"
"2587641000033117","3294611000001104","0302000K0BDABAM","symbicort 200/6 turbohaler (astrazeneca uk ltd)","symbicort 200/6 turbohaler (astrazeneca uk ltd)","symbicort 200/6 turbohaler","symbicort 200/6 turbohaler","AMP","38896811000001103","R03AK07","inhalation powder","inhalation","budesonide/ formoterol fumarate dihydrate","200.000microgram/1.000dose + 6.000microgram/1.000dose","laba-ics","Symbicort 200/6 Turbohaler (AstraZeneca UK Ltd)"
"2588241000033119","3215311000001107","0301011R0BIAGBU","salamol 100micrograms/dose easi-breathe inhaler (teva uk ltd)","salamol 100micrograms/dose easi-breathe inhaler (teva uk ltd)","salamol 100micrograms/dose easi-breathe inhaler","salamol 100micrograms/dose easi-breathe inhaler","AMP","39112711000001103","R03AC02","pressurised inhalation","inhalation","salbutamol sulfate","100.000microgram/1.000dose","saba","Salamol 100micrograms/dose Easi-Breathe inhaler (Teva UK Ltd)"
"258841000033116","39687811000001107","0501120L0AAAFAF","ciprofloxacin 500mg tablets","ciprofloxacin 500mg tablets","ciprofloxacin 500mg tablets","ciprofloxacin 500mg tablets","VMP","39687811000001107","J01MA02","tablet","oral","ciprofloxacin hydrochloride","500.000mg","abx","Ciprofloxacin 500mg tablets"
"258941000033112","661311000001104","0501120L0BBADAJ","ciproxin 750mg tablets (bayer plc)","ciproxin 750mg tablets (bayer plc)","ciproxin 750mg tablets","ciproxin 750mg tablets","AMP","39687011000001101","J01MA02","tablet","oral","ciprofloxacin hydrochloride","750.000mg","abx","Ciproxin 750mg tablets (Bayer Plc)"
"259041000033115","39687011000001101","0501120L0AAAJAJ","ciprofloxacin 750mg tablets","ciprofloxacin 750mg tablets","ciprofloxacin 750mg tablets","ciprofloxacin 750mg tablets","VMP","39687011000001101","J01MA02","tablet","oral","ciprofloxacin hydrochloride","750.000mg","abx","Ciprofloxacin 750mg tablets"
"259341000033118","39686211000001109","0501120L0AAAGAG","ciprofloxacin 100mg tablets","ciprofloxacin 100mg tablets","ciprofloxacin 100mg tablets","ciprofloxacin 100mg tablets","VMP","39686211000001109","J01MA02","tablet","oral","ciprofloxacin hydrochloride","100.000mg","abx","Ciprofloxacin 100mg tablets"
"259441000033112","162511000001103","0501120L0BBACAG","ciproxin 100mg tablets (bayer plc)","ciproxin 100mg tablets (bayer plc)","ciproxin 100mg tablets","ciproxin 100mg tablets","AMP","39686211000001109","J01MA02","tablet","oral","ciprofloxacin hydrochloride","100.000mg","abx","Ciproxin 100mg tablets (Bayer Plc)"
"259641000033114","455911000001109","0501120L0BBAAAA","ciproxin 250mg tablets (bayer plc)","ciproxin 250mg tablets (bayer plc)","ciproxin 250mg tablets","ciproxin 250mg tablets","AMP","39687511000001109","J01MA02","tablet","oral","ciprofloxacin hydrochloride","250.000mg","abx","Ciproxin 250mg tablets (Bayer Plc)"
"260241000033112","39687511000001109","0501120L0AAAAAA","ciprofloxacin 250mg tablets","ciprofloxacin 250mg tablets","ciprofloxacin 250mg tablets","ciprofloxacin 250mg tablets","VMP","39687511000001109","J01MA02","tablet","oral","ciprofloxacin hydrochloride","250.000mg","abx","Ciprofloxacin 250mg tablets"
"2622741000033114","3384111000001103","0301011R0BTAAAQ","pulvinal salbutamol 200micrograms/dose dry powder inhaler (chiesi ltd)","pulvinal salbutamol 200micrograms/dose dry powder inhaler (chiesi ltd)","pulvinal salbutamol 200micrograms/dose dry powder inhaler","pulvinal salbutamol 200micrograms/dose dry powder inhaler","AMP","39113311000001107","R03AC02","inhalation powder","inhalation","salbutamol","200.000microgram/1.000dose","saba","Pulvinal Salbutamol 200micrograms/dose dry powder inhaler (Chiesi Ltd)"
"2623141000033115","3112911000001102","0302000C0BLABBJ","pulvinal beclometasone dipropionate 100micrograms/dose dry powder inhaler (chiesi ltd)","pulvinal beclometasone dipropionate 100micrograms/dose dry powder inhaler (chiesi ltd)","pulvinal beclometasone diprop 100microg/dose dry pdr inh","pulvinal beclometasone dipropionate 100micrograms/dose dry powder inhaler","AMP","35908011000001109","R03BA01","inhalation powder","inhalation","beclometasone dipropionate","100.000microgram/1.000dose","ics","Pulvinal Beclometasone Dipropionate 100micrograms/dose dry powder inhaler (Chiesi Ltd)"
"2623241000033110","3113411000001101","0302000C0BLAABU","pulvinal beclometasone dipropionate 200micrograms/dose dry powder inhaler (chiesi ltd)","pulvinal beclometasone dipropionate 200micrograms/dose dry powder inhaler (chiesi ltd)","pulvinal beclometasone diprop 200microg/dose dry pdr inh","pulvinal beclometasone dipropionate 200micrograms/dose dry powder inhaler","AMP","35908411000001100","R03BA01","inhalation powder","inhalation","beclometasone dipropionate","200.000microgram/1.000dose","ics","Pulvinal Beclometasone Dipropionate 200micrograms/dose dry powder inhaler (Chiesi Ltd)"
"2623341000033117","3175111000001103","0302000C0BLACBS","pulvinal beclometasone dipropionate 400micrograms/dose dry powder inhaler (chiesi ltd)","pulvinal beclometasone dipropionate 400micrograms/dose dry powder inhaler (chiesi ltd)","pulvinal beclometasone diprop 400microg/dose dry pdr inh","pulvinal beclometasone dipropionate 400micrograms/dose dry powder inhaler","AMP","35909111000001103","R03BA01","inhalation powder","inhalation","beclometasone dipropionate","400.000microgram/1.000dose","ics","Pulvinal Beclometasone Dipropionate 400micrograms/dose dry powder inhaler (Chiesi Ltd)"
"2725541000033116","3189711000001107","0302000C0BMAAAE","beclometasone 100 cyclocaps (teva uk ltd)","beclometasone 100 cyclocaps (teva uk ltd)","beclometasone 100 cyclocaps","beclometasone 100 cyclocaps","AMP","39695511000001104","R03BA01","inhalation powder","inhalation","beclometasone dipropionate","100.000microgram","ics","Beclometasone 100 Cyclocaps (Teva UK Ltd)"
"2725641000033115","3192611000001109","0302000C0BMABAF","beclometasone 200 cyclocaps (teva uk ltd)","beclometasone 200 cyclocaps (teva uk ltd)","beclometasone 200 cyclocaps","beclometasone 200 cyclocaps","AMP","39695611000001100","R03BA01","inhalation powder","inhalation","beclometasone dipropionate","200.000microgram","ics","Beclometasone 200 Cyclocaps (Teva UK Ltd)"
"2725741000033112","3194511000001100","0302000C0BMACAI","beclometasone 400 cyclocaps (teva uk ltd)","beclometasone 400 cyclocaps (teva uk ltd)","beclometasone 400 cyclocaps","beclometasone 400 cyclocaps","AMP","39695711000001109","R03BA01","inhalation powder","inhalation","beclometasone dipropionate","400.000microgram","ics","Beclometasone 400 Cyclocaps (Teva UK Ltd)"
"2725841000033119","3432911000001109","0302000K0AAARAR","budesonide 200microgram inhalation powder capsules","budesonide 200microgram inhalation powder capsules","budesonide 200microgram inhalation powder capsules","budesonide 200microgram inhalation powder capsules","VMP","3432911000001109","R03BA02","inhalation powder","inhalation","budesonide","200.000microgram","ics","Budesonide 200microgram inhalation powder capsules"
"2725941000033110","3433011000001101","0302000K0AAASAS","budesonide 400microgram inhalation powder capsules","budesonide 400microgram inhalation powder capsules","budesonide 400microgram inhalation powder capsules","budesonide 400microgram inhalation powder capsules","VMP","3433011000001101","R03BA02","inhalation powder","inhalation","budesonide","400.000microgram","ics","Budesonide 400microgram inhalation powder capsules"
"2726041000033117","3197211000001105","0302000K0BEAAAR","budesonide 200 cyclocaps (teva uk ltd)","budesonide 200 cyclocaps (teva uk ltd)","budesonide 200 cyclocaps","budesonide 200 cyclocaps","AMP","3432911000001109","R03BA02","inhalation powder","inhalation","budesonide","200.000microgram","ics","Budesonide 200 Cyclocaps (Teva UK Ltd)"
"2726141000033118","3198411000001108","0302000K0BEABAS","budesonide 400 cyclocaps (teva uk ltd)","budesonide 400 cyclocaps (teva uk ltd)","budesonide 400 cyclocaps","budesonide 400 cyclocaps","AMP","3433011000001101","R03BA02","inhalation powder","inhalation","budesonide","400.000microgram","ics","Budesonide 400 Cyclocaps (Teva UK Ltd)"
"2726241000033113","3214611000001103","0301011R0BPACAV","salbutamol 200 cyclocaps (teva uk ltd)","salbutamol 200 cyclocaps (teva uk ltd)","salbutamol 200 cyclocaps","salbutamol 200 cyclocaps","AMP","39709711000001100","R03AC02","inhalation powder","inhalation","salbutamol sulfate","200.000microgram","saba","Salbutamol 200 Cyclocaps (Teva UK Ltd)"
"2726341000033115","3217611000001109","0301011R0BPADAW","salbutamol 400 cyclocaps (teva uk ltd)","salbutamol 400 cyclocaps (teva uk ltd)","salbutamol 400 cyclocaps","salbutamol 400 cyclocaps","AMP","39709811000001108","R03AC02","inhalation powder","inhalation","salbutamol sulfate","400.000microgram","saba","Salbutamol 400 Cyclocaps (Teva UK Ltd)"
"277841000033115","36142611000001107","0501050B0AAAEAE","clarithromycin 500mg modified-release tablets","clarithromycin 500mg modified-release tablets","clarithromycin 500mg modified-release tablets","clarithromycin 500mg modified-release tablets","VMP","36142611000001107","J01FA09","modified-release tablet","oral","clarithromycin","500.000mg","abx","Clarithromycin 500mg modified-release tablets"
"278241000033118","35368711000001104","0501050B0AAABAB","clarithromycin 125mg/5ml oral suspension","clarithromycin 125mg/5ml oral suspension","clarithromycin 125mg/5ml oral suspension","clarithromycin 125mg/5ml oral suspension","VMP","35368711000001104","J01FA09","oral suspension","oral","clarithromycin","25.000mg/1.000ml","abx","Clarithromycin 125mg/5ml oral suspension"
"2793541000033114","9479011000001103","0301020Q0AAAAAA","tiotropium bromide 18microgram inhalation powder capsules with device","tiotropium bromide 18microgram inhalation powder capsules with device","tiotropium bromide 18microgram inhalation pdr caps with dev","tiotropium bromide 18microgram inhalation powder capsules with device","VMP","9479011000001103","R03BB04","inhalation powder","inhalation","tiotropium bromide","18.000microgram","lama","Tiotropium bromide 18microgram inhalation powder capsules with device"
"2793641000033110","9478911000001107","0301020Q0AAABAB","tiotropium bromide 18microgram inhalation powder capsules","tiotropium bromide 18microgram inhalation powder capsules","tiotropium bromide 18microgram inhalation powder capsules","tiotropium bromide 18microgram inhalation powder capsules","VMP","9478911000001107","R03BB04","inhalation powder","inhalation","tiotropium bromide","18.000microgram","lama","Tiotropium bromide 18microgram inhalation powder capsules"
"2793741000033118","3378211000001106","0301020Q0BBAAAA","spiriva 18microgram inhalation powder capsules with handihaler (boehringer ingelheim ltd)","spiriva 18microgram inhalation powder capsules with handihaler (boehringer ingelheim ltd)","spiriva 18microgram inhalation pdr caps with handihaler","spiriva 18microgram inhalation powder capsules with handihaler","AMP","9479011000001103","R03BB04","inhalation powder","inhalation","tiotropium bromide","18.000microgram","lama","Spiriva 18microgram inhalation powder capsules with HandiHaler (Boehringer Ingelheim Ltd)"
"2793841000033111","3380011000001106","0301020Q0BBABAB","spiriva 18microgram inhalation powder capsules (boehringer ingelheim ltd)","spiriva 18microgram inhalation powder capsules (boehringer ingelheim ltd)","spiriva 18microgram inhalation powder capsules","spiriva 18microgram inhalation powder capsules","AMP","9478911000001107","R03BB04","inhalation powder","inhalation","tiotropium bromide","18.000microgram","lama","Spiriva 18microgram inhalation powder capsules (Boehringer Ingelheim Ltd)"
"2798341000033112","4860811000001104","0302000K0BBALAT","pulmicort 200micrograms/dose inhaler with nebuchamber (astrazeneca uk ltd)","pulmicort 200micrograms/dose inhaler with nebuchamber (astrazeneca uk ltd)","pulmicort 200micrograms/dose inhaler with nebuchamber","pulmicort 200micrograms/dose inhaler with nebuchamber","AMP","4864911000001104","R03BA02","pressurised inhalation","inhalation","budesonide","200.000microgram/1.000dose","ics","Pulmicort 200micrograms/dose inhaler with Nebuchamber (AstraZeneca UK Ltd)"
"282141000033118","324248006","0501050B0AAAFAF","clarithromycin 250mg granules sachets","clarithromycin 250mg granules sachets","clarithromycin 250mg granules sachets","clarithromycin 250mg granules sachets","VMP","324248006","J01FA09","granules","oral","clarithromycin","250.000mg","abx","Clarithromycin 250mg granules sachets"
"285341000033110","324244008","0501050B0AAADAD","clarithromycin 500mg tablets","clarithromycin 500mg tablets","clarithromycin 500mg tablets","clarithromycin 500mg tablets","VMP","324244008","J01FA09","tablet","oral","clarithromycin","500.000mg","abx","Clarithromycin 500mg tablets"
"2864041000033119","NA","NA","salbutamol breath actuated pressurised inhalation 100 micrograms/actuation","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saba","Salbutamol Breath Actuated Pressurised Inhalation 100 micrograms/actuation"
"287441000033111","324238009","0501050B0AAAAAA","clarithromycin 250mg tablets","clarithromycin 250mg tablets","clarithromycin 250mg tablets","clarithromycin 250mg tablets","VMP","324238009","J01FA09","tablet","oral","clarithromycin","250.000mg","abx","Clarithromycin 250mg tablets"
"2890241000033119","408015000","0501120Y0AAAAAA","moxifloxacin 400mg tablets","moxifloxacin 400mg tablets","moxifloxacin 400mg tablets","moxifloxacin 400mg tablets","VMP","408015000","J01MA14","tablet","oral","moxifloxacin hydrochloride","400.000mg","abx","Moxifloxacin 400mg tablets"
"2890341000033112","4360711000001109","0501120Y0BBAAAA","avelox 400mg tablets (bayer plc)","avelox 400mg tablets (bayer plc)","avelox 400mg tablets","avelox 400mg tablets","AMP","408015000","J01MA14","tablet","oral","moxifloxacin hydrochloride","400.000mg","abx","Avelox 400mg tablets (Bayer Plc)"
"2905641000033115","4373811000001100","0302000K0BDACAU","symbicort 400/12 turbohaler (astrazeneca uk ltd)","symbicort 400/12 turbohaler (astrazeneca uk ltd)","symbicort 400/12 turbohaler","symbicort 400/12 turbohaler","AMP","4378111000001103","R03AK07","inhalation powder","inhalation","budesonide/ formoterol fumarate dihydrate","400.000microgram/1.000dose + 12.000microgram/1.000dose","laba-ics","Symbicort 400/12 Turbohaler (AstraZeneca UK Ltd)"
"2952141000033110","NA","NA","salbutamol breath actuated pressurised inhalation, cfc-free 100 micrograms/actuation","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","saba","Salbutamol Breath Actuated Pressurised Inhalation, Cfc-free 100 micrograms/actuation"
"3075441000033112","38894511000001107","0301020I0AAANAN","ipratropium bromide 20micrograms/dose inhaler cfc free","ipratropium bromide 20micrograms/dose inhaler cfc free","ipratropium bromide 20micrograms/dose inhaler cfc free","ipratropium bromide 20micrograms/dose inhaler cfc free","VMP","38894511000001107","R03BB01","pressurised inhalation","inhalation","ipratropium bromide","20.000microgram/1.000dose","sama","Ipratropium bromide 20micrograms/dose inhaler CFC free"
"3075541000033113","7389911000001105","0301020I0BBAJAN","atrovent 20micrograms/dose inhaler cfc free (boehringer ingelheim ltd)","atrovent 20micrograms/dose inhaler cfc free (boehringer ingelheim ltd)","atrovent 20micrograms/dose inhaler cfc free","atrovent 20micrograms/dose inhaler cfc free","AMP","38894511000001107","R03BB01","pressurised inhalation","inhalation","ipratropium bromide","20.000microgram/1.000dose","sama","Atrovent 20micrograms/dose inhaler CFC free (Boehringer Ingelheim Ltd)"
"3079141000033118","39732311000001104","0501013B0AAAAAA","amoxicillin 250mg capsules","amoxicillin 250mg capsules","amoxicillin 250mg capsules","amoxicillin 250mg capsules","VMP","39732311000001104","J01CA04","capsule","oral","amoxicillin trihydrate","250.000mg","abx","Amoxicillin 250mg capsules"
"3079241000033113","39732411000001106","0501013B0AAABAB","amoxicillin 500mg capsules","amoxicillin 500mg capsules","amoxicillin 500mg capsules","amoxicillin 500mg capsules","VMP","39732411000001106","J01CA04","capsule","oral","amoxicillin trihydrate","500.000mg","abx","Amoxicillin 500mg capsules"
"3079641000033111","323732002","0501013B0AAAJAJ","amoxicillin 125mg/5ml oral suspension","amoxicillin 125mg/5ml oral suspension","amoxicillin 125mg/5ml oral suspension","amoxicillin 125mg/5ml oral suspension","VMP","323732002","J01CA04","oral suspension","oral","amoxicillin trihydrate","25.000mg/1.000ml","abx","Amoxicillin 125mg/5ml oral suspension"
