"cat","medcodeid","aurumterm","disease_num","score","term"
"Any malignancy","292166019","[x]malignant neoplasm without specification of site",11,2,"[X]Malignant neoplasm without specification of site"
"Any malignancy","536981000006110","carcinoma in situ other and unspecified female genital organ",11,2,"Carcinoma in situ other and unspecified female genital organ"
"Any malignancy","289820010","malignant lymphoma otherwise specified",11,2,"Malignant lymphoma (clinical)"
"Any malignancy","311481000006118","[m]lymphomatous tumour, benign",11,2,"[M]Lymphomatous tumour, benign"
"Any malignancy","154864010","hodgkin's sarcoma of intrathoracic lymph nodes",11,2,"Hodgkin's sarcoma of intrathoracic lymph nodes"
"Any malignancy","153300015","carcinoma in situ of rectum",11,2,"Carcinoma in situ of rectum"
"Any malignancy","289875015","lymphatic leukaemia",11,2,"Lymphatic leukaemia"
"Any malignancy","725241000006116","malignant neoplasm of hypopharynx",11,2,"Malignant neoplasm of hypopharynx"
"Any malignancy","289272012","malignant neoplasm of posterior wall of urinary bladder",11,2,"Malignant neoplasm of posterior wall of urinary bladder"
"Any malignancy","455405012","malignant neoplasm of skin of scapular region",11,2,"Malignant neoplasm of skin of scapular region"
"Any malignancy","155458017","malignant neoplasm of perianal skin",11,2,"Malignant neoplasm of perianal skin"
"Any malignancy","173946014","kaposi's sarcoma of palate",11,2,"Kaposi's sarcoma of palate"
"Any malignancy","155520018","malignant neoplasm of skin of back",11,2,"Malignant neoplasm of skin of back"
"Any malignancy","155521019","malignant neoplasm of skin of breast",11,2,"Malignant neoplasm of skin of breast"
"Any malignancy","289270016","malignant neoplasm of lateral wall of urinary bladder",11,2,"Malignant neoplasm of lateral wall of urinary bladder"
"Any malignancy","450987014","myelosclerosis with myeloid metaplasia",11,2,"Myelosclerosis with myeloid metaplasia"
"Any malignancy","155545015","malignant neoplasm of skin of neck",11,2,"Malignant neoplasm of skin of neck"
"Any malignancy","724051000006110","malignant neoplasm of myocardium",11,2,"Malignant neoplasm of myocardium"
"Any malignancy","289107010","malignant neoplasm of skin of trunk, excluding scrotum, nos",11,2,"Malignant neoplasm of skin of trunk, excluding scrotum, NOS"
"Any malignancy","460265014","[v]personal history of malignant neoplasm of urinary organ",11,2,"[V]Personal history of malignant neoplasm of urinary organ"
"Any malignancy","289717011","nodular lymphoma of unspecified site",11,2,"Nodular lymphoma of unspecified site"
"Any malignancy","304661000006114","[m]adenocarcinoma, intestinal type",11,2,"Adenocarcinoma - intestinal type"
"Any malignancy","720511000006113","malignant neoplasm skin of ear and external auricular canal",11,2,"Malignant neoplasm of skin of ear and external auricular canal"
"Any malignancy","457111019","malignant neoplasm of lower eyelid",11,2,"Malignant neoplasm of lower eyelid"
"Any malignancy","289095010","malignant neoplasm of skin of trunk, excluding scrotum",11,2,"Malignant neoplasm of skin of trunk"
"Any malignancy","1227575015","[v]personal history of hodgkin's disease",11,2,"[V]Personal history of Hodgkin's disease"
"Any malignancy","721091000006119","malignant neoplasm of sweat gland",11,2,"Malignant neoplasm of sweat gland"
"Any malignancy","155269017","malignant neoplasm of glomus jugulare",11,2,"Malignant neoplasm of glomus jugulare"
"Any malignancy","288485015","malignant neoplasm of faucial pillar",11,2,"Malignant neoplasm of faucial pillar"
"Any malignancy","215751000000116","basal cell carcinoma",11,2,"Basal cell carcinoma of skin"
"Any malignancy","288474017","malignant neoplasm of mouth nos",11,2,"Malignant neoplasm of mouth NOS"
"Any malignancy","289056014","malignant melanoma of great toe",11,2,"Malignant melanoma of great toe"
"Any malignancy","289053018","malignant melanoma of heel",11,2,"Malignant melanoma of heel"
"Any malignancy","289052011","malignant melanoma of ankle",11,2,"Malignant melanoma of ankle"
"Any malignancy","723111000006110","malignant neoplasm of scrotum",11,2,"Malignant neoplasm of scrotum"
"Any malignancy","153124018","carcinoma in situ of cardia of stomach",11,2,"Carcinoma in situ of cardia of stomach"
"Any malignancy","729491000006110","malig neop of other and unspecified female genital organs",11,2,"Malig neop of other and unspecified female genital organs"
"Any malignancy","289040016","malignant melanoma of upper arm",11,2,"Malignant melanoma of upper arm"
"Any malignancy","289189011","malignant neoplasm of fundus of corpus uteri",11,2,"Malignant neoplasm of fundus of corpus uteri"
"Any malignancy","288393019","malignant neoplasm of lip, oral aspect",11,2,"Malignant neoplasm of lip, oral aspect"
"Any malignancy","289208010","malignant neoplasm of vagina nos",11,2,"Malignant neoplasm of vagina NOS"
"Any malignancy","289147015","malignant neoplasm, overlapping lesion of breast",11,2,"Malignant neoplasm, overlapping lesion of breast"
"Any malignancy","720011000006116","malignant neoplasm-pluriglandular involvement,unspecified",11,2,"Malignant neoplasm-pluriglandular involvement,unspecified"
"Any malignancy","291894014","[m]malignant lymphoma, convoluted cell type nos",11,2,"[M]Malignant lymphoma, convoluted cell type NOS"
"Any malignancy","291493013","[m]cystadenoma and carcinoma",11,2,"[M]Cystadenoma and carcinoma"
"Any malignancy","312161000006111","[m]medullary carcinoma with amyloid stroma",11,2,"Medullary carcinoma with amyloid stroma"
"Any malignancy","289017015","malignant melanoma of chin",11,2,"Malignant melanoma of chin"
"Any malignancy","406263015","malignant neoplasm of genitourinary organ",11,2,"Malignant neoplasm of genitourinary organ"
"Any malignancy","289009011","malignant melanoma of lip",11,2,"Malignant melanoma of lip"
"Any malignancy","291482011","[m]apocrine adenoma and adenocarcinomas",11,2,"[M]Apocrine adenoma and adenocarcinomas"
"Any malignancy","309511000006111","[m]granular cell tumours and alveolar soft part sarcoma",11,2,"[M]Granular cell tumours and alveolar soft part sarcoma"
"Any malignancy","153151015","carcinoma in situ of epiglottis",11,2,"Carcinoma in situ of epiglottis"
"Any malignancy","292182018","[x]other specified leukaemias",11,2,"[X]Other specified leukaemias"
"Any malignancy","721701000006112","malignant neoplasm of spermatic cord",11,2,"Malignant neoplasm of spermatic cord"
"Any malignancy","155550014","malignant neoplasm of skin of shoulder",11,2,"Malignant neoplasm of skin of shoulder"
"Any malignancy","288995019","malignant neoplasm of connective and soft tissue of pelvis",11,2,"Malignant neoplasm of connective and soft tissue of pelvis"
"Any malignancy","291440012","[m]oxyphilic adenomas and adenocarcinomas",11,2,"[M]Oxyphilic adenomas and adenocarcinomas"
"Any malignancy","289150017","malignant neoplasm of other site of female breast nos",11,2,"Malignant neoplasm of other site of female breast NOS"
"Any malignancy","288799017","malignant neoplasm of arytenoid cartilage",11,2,"Malignant neoplasm of arytenoid cartilage"
"Any malignancy","1210642019","malignant neoplasm of female breast",11,2,"Malignant neoplasm of female breast"
"Any malignancy","1227553017","[v]personal history of malignant neoplasm of stomach",11,2,"[V]Personal history of malignant neoplasm of stomach"
"Any malignancy","730241000006113","malig neop connective and soft tissue hip and leg nos",11,2,"Malig neop connective and soft tissue hip and leg NOS"
"Any malignancy","730041000006115","malig neop pituitary gland or craniopharyngeal duct nos",11,2,"Malig neop pituitary gland or craniopharyngeal duct NOS"
"Any malignancy","288980016","malignant neoplasm of connective and soft tissue of toe",11,2,"Malignant neoplasm of connective and soft tissue of toe"
"Any malignancy","291510012","[m]papillary cystadenocarcinoma, nos",11,2,"Papillary cystadenocarcinoma"
"Any malignancy","730251000006110","malig neop connective and soft tissue of popliteal space",11,2,"Malignant neoplasm of connective and soft tissue of popliteal space"
"Any malignancy","288821018","malignant neoplasm of upper lobe, bronchus or lung nos",11,2,"Malignant neoplasm of upper lobe, bronchus or lung NOS"
"Any malignancy","288975013","malignant neoplasm of connective and soft tissue of hip",11,2,"Malignant neoplasm of connective and soft tissue of hip"
"Any malignancy","396471000006112","[x]malignant neoplasm/bone+articular cartilage, unspecified",11,2,"[X]Malignant neoplasm/bone+articular cartilage, unspecified"
"Any malignancy","304681000006116","[m]adenocarcinomas",11,2,"[M]Adenocarcinomas"
"Any malignancy","289967013","chronic leukaemia nos",11,2,"Chronic leukaemia"
"Any malignancy","552661000006114","choriocarcinoma",11,2,"Choriocarcinoma"
"Any malignancy","153337014","carcinoma in situ of skin of hip",11,2,"Carcinoma in situ of skin of hip"
"Any malignancy","1221504012","[m]carcinoma in pleomorphic adenoma",11,2,"[M]Carcinoma in pleomorphic adenoma"
"Any malignancy","154081017","letterer-siwe disease of intrapelvic lymph nodes",11,2,"Letterer-Siwe disease of intrapelvic lymph nodes"
"Any malignancy","288951013","malignant neoplasm of fifth metatarsal bone",11,2,"Malignant neoplasm of fifth metatarsal bone"
"Any malignancy","288439018","malignant neoplasm of other sites of gum",11,2,"Malignant neoplasm of other sites of gum"
"Any malignancy","289754019","malignant histiocytosis nos",11,2,"Malignant histiocytosis NOS"
"Any malignancy","291446018","[m]renal adenoma or carcinoma nos",11,2,"[M]Renal adenoma or carcinoma NOS"
"Any malignancy","288946019","malignant neoplasm of navicular",11,2,"Malignant neoplasm of navicular"
"Any malignancy","543111000006111","cerebral tumour - malignant",11,2,"Cerebral tumour - malignant"
"Any malignancy","155604019","malignant neoplasm of talus",11,2,"Malignant neoplasm of talus"
"Any malignancy","289618014","hodgkin's paragranuloma of intrathoracic lymph nodes",11,2,"Hodgkin's paragranuloma of intrathoracic lymph nodes"
"Any malignancy","305861000006114","[m]basophil carcinoma",11,2,"Basophil carcinoma"
"Any malignancy","153140015","carcinoma in situ of cystic duct",11,2,"Carcinoma in situ of cystic duct"
"Any malignancy","289217010","malignant neoplasm of other specified female genital organ",11,2,"Malignant neoplasm of other specified female genital organ"
"Any malignancy","304621000006115","[m]adenocarcinoma with apocrine metaplasia",11,2,"[M]Adenocarcinoma with apocrine metaplasia"
"Any malignancy","305231000006118","[m]amelanotic melanoma",11,2,"Amelanotic melanoma"
"Any malignancy","155479017","malignant neoplasm of pubis",11,2,"Malignant neoplasm of pubis"
"Any malignancy","289097019","malignant neoplasm of skin of chest, excluding breast",11,2,"Malignant neoplasm of skin of chest, excluding breast"
"Any malignancy","288923016","malignant neoplasm of hand bones nos",11,2,"Malignant neoplasm of hand bones NOS"
"Any malignancy","725271000006112","malignant neoplasm of ileum",11,2,"Malignant tumour of ileum"
"Any malignancy","1229572014","[m]malignant melanoma, regressing",11,2,"[M]Malignant melanoma, regressing"
"Any malignancy","288510016","malignant neoplasm of junctional region of epiglottis",11,2,"Malignant neoplasm of junctional region of epiglottis"
"Any malignancy","289317013","malignant neoplasm of connective tissue of orbit",11,2,"Malignant neoplasm of connective tissue of orbit"
"Any malignancy","289276010","malignant neoplasm of ureteric orifice",11,2,"Malignant neoplasm of ureteric orifice"
"Any malignancy","289431012","malignant neoplasm of head, neck and face nos",11,2,"Malignant neoplasm of head, neck and face NOS"
"Any malignancy","317901000006110","[m]tumour cells, malignant",11,2,"Malignant tumour cells"
"Any malignancy","288911010","malignant neoplasm of carpal bone - triquetrum",11,2,"Malignant neoplasm of carpal bone - triquetrum"
"Any malignancy","380146015","malignant neoplasm of metacarpal bones",11,2,"Malignant neoplasm of metacarpal bones"
"Any malignancy","316971000006119","[m]squamous cell carcinoma, spindle cell type",11,2,"[M]Squamous cell carcinoma, spindle cell type"
"Any malignancy","403697014","malignant neoplasm of hand bones",11,2,"Malignant neoplasm of hand bones"
"Any malignancy","721421000006112","malignant neoplasm of transverse colon",11,2,"Malignant tumour of transverse colon"
"Any malignancy","1235762013","carcinoma in situ of skin of forehead skin",11,2,"Carcinoma in situ of skin of forehead skin"
"Any malignancy","1231004013","[m]adenocarcinoma in situ in tubulovillous adenoma",11,2,"[M]Adenocarcinoma in situ in tubulovillous adenoma"
"Any malignancy","288898016","malignant neoplasm of scapula and long bones of upper arm",11,2,"Malignant neoplasm of scapula and long bones of upper arm"
"Any malignancy","290750015","carcinoma in situ of colon nos",11,2,"Carcinoma in situ of colon NOS"
"Any malignancy","1228553019","malignant neoplasm of ethmoid sinus",11,2,"Malignant neoplasm of ethmoid sinus"
"Any malignancy","153348019","carcinoma in situ of skin of shoulder",11,2,"Carcinoma in situ of skin of shoulder"
"Any malignancy","288568015","malignant neoplasm of posterior pharynx",11,2,"Malignant neoplasm of posterior pharynx"
"Any malignancy","155368011","malignant neoplasm of mandible",11,2,"Malignant neoplasm of mandible"
"Any malignancy","291618010","[m]soft tissue tumours and sarcomas nos",11,2,"[M]Soft tissue tumours and sarcomas NOS"
"Any malignancy","454085011","malignant melanoma of back",11,2,"Malignant melanoma of back"
"Any malignancy","721991000006115","malignant neoplasm of sigmoid colon",11,2,"Malignant tumour of sigmoid colon"
"Any malignancy","155402013","malignant neoplasm of nasal bone",11,2,"Malignant neoplasm of nasal bone"
"Any malignancy","1227559018","[v]personal history of malignant neoplasm of bronchus",11,2,"[V]Personal history of malignant neoplasm of bronchus"
"Any malignancy","288869015","malignant neoplasm of bones of skull and face",11,2,"Malignant neoplasm of bones of skull and face"
"Any malignancy","153422014","carcinoma in situ of vulva",11,2,"Carcinoma in situ of vulva"
"Any malignancy","288815017","malignant neoplasm of main bronchus nos",11,2,"Malignant neoplasm of main bronchus NOS"
"Any malignancy","289178016","malignant neoplasm of other site of cervix",11,2,"Malignant neoplasm of other site of cervix"
"Any malignancy","289043019","malignant melanoma of finger",11,2,"Malignant melanoma of finger"
"Any malignancy","291779017","[m]osteoma or osteosarcoma nos",11,2,"[M]Osteoma or osteosarcoma NOS"
"Any malignancy","288952018","malignant neoplasm of phalanges of foot",11,2,"Malignant neoplasm of phalanges of foot"
"Any malignancy","288414010","malignant neoplasm of anterior 2/3 of tongue dorsal surface",11,2,"Malignant neoplasm of anterior 2/3 of tongue dorsal surface"
"Any malignancy","724671000006113","malignant neoplasm of mediastinum, part unspecified",11,2,"Malignant neoplasm of mediastinum, part unspecified"
"Any malignancy","288841011","malignant neoplasm of thymus, heart and mediastinum",11,2,"Malignant neoplasm of thymus, heart and mediastinum"
"Any malignancy","289329016","malignant neoplasm of other specified site of eye",11,2,"Malignant neoplasm of other specified site of eye"
"Any malignancy","312741000006111","[m]miscellaneous reticuloendothelial neoplasms",11,2,"[M]Miscellaneous reticuloendothelial neoplasms"
"Any malignancy","289257013","malignant neoplasm of tunica vaginalis",11,2,"Malignant neoplasm of tunica vaginalis"
"Any malignancy","536991000006113","carcinoma in situ other and unspecified male genital organs",11,2,"Carcinoma in situ other and unspecified male genital organs"
"Any malignancy","290773011","carcinoma in situ of other and unspecified digestive organs",11,2,"Carcinoma in situ of other and unspecified digestive organs"
"Any malignancy","288832018","malignant neoplasm of other sites of bronchus or lung",11,2,"Malignant neoplasm of other sites of bronchus or lung"
"Any malignancy","826461000006111","hodgkin's lymphocytic depletion intra-abdominal lymph nodes",11,2,"Hodgkin's disease, lymphocytic depletion of intra-abdominal lymph nodes"
"Any malignancy","310661000006117","[m]islet cell carcinoma",11,2,"[M]Islet cell carcinoma"
"Any malignancy","288824014","malignant neoplasm of middle lobe of lung",11,2,"Malignant neoplasm of middle lobe of lung"
"Any malignancy","1815221000006115","cutaneous follicle centre lymphoma",11,2,"Follicular lymphoma, cutaneous follicle centre"
"Any malignancy","288967019","malignant neoplasm of connective and soft tissue of shoulder",11,2,"Malignant neoplasm of connective and soft tissue of shoulder"
"Any malignancy","291607010","[m]spindle cell melanoma nos",11,2,"Spindle cell melanoma"
"Any malignancy","403688010","malignant neoplasm of upper lobe, bronchus or lung",11,2,"Malignant neoplasm of upper lobe, bronchus or lung"
"Any malignancy","289680014","hodgkin's lymphocytic depletion of unspecified site",11,2,"Hodgkin's lymphocytic depletion of unspecified site"
"Any malignancy","155287019","malignant neoplasm of hilus of lung",11,2,"Malignant neoplasm of hilus of lung"
"Any malignancy","288810010","malignant neoplasm of mucosa of trachea",11,2,"Malignant neoplasm of mucosa of trachea"
"Any malignancy","345781000006116","[v]personal history other lymphatic/haematopoietic neoplasm",11,2,"[V]Personal history other lymphatic/haematopoietic neoplasm"
"Any malignancy","304641000006110","[m]adenocarcinoma with spindle cell metaplasia",11,2,"[M]Adenocarcinoma with spindle cell metaplasia"
"Any malignancy","1815451000006113","nonfollicular lymphoma",11,2,"Nonfollicular lymphoma"
"Any malignancy","313031000006112","[m]mucin-producing adenocarcinoma",11,2,"[M]Mucin-producing adenocarcinoma"
"Any malignancy","288803016","malignant neoplasm of laryngeal cartilage nos",11,2,"Malignant tumour of laryngeal cartilage"
"Any malignancy","289959017","other and unspecified leukaemia nos",11,2,"Other and unspecified leukaemia NOS"
"Any malignancy","316181000006119","[m]schneiderian carcinoma",11,2,"[M]Schneiderian carcinoma"
"Any malignancy","724761000006110","malignant neoplasm of laryngeal cartilage",11,2,"Malignant neoplasm of laryngeal cartilage"
"Any malignancy","288826011","malignant neoplasm of lower lobe, bronchus or lung",11,2,"Malignant neoplasm of lower lobe, bronchus or lung"
"Any malignancy","153231012","carcinoma in situ of liver",11,2,"Carcinoma in situ of liver"
"Any malignancy","155211011","malignant neoplasm of dorsal surface of tongue",11,2,"Malignant neoplasm of dorsal surface of tongue"
"Any malignancy","289207017","malignant neoplasm of vaginal vault",11,2,"Malignant neoplasm of vaginal vault"
"Any malignancy","1222660012","[m]osteosarcoma nos",11,2,"[M]Osteosarcoma NOS"
"Any malignancy","724641000006117","malignant neoplasm of maxillary sinus",11,2,"Malignant neoplasm of maxillary sinus"
"Any malignancy","153089011","carcinoma in situ of anal canal",11,2,"Carcinoma in situ of anal canal"
"Any malignancy","380211016","carcinoma of other and unspecified sites",11,2,"Carcinoma of other and unspecified sites"
"Any malignancy","730011000006119","malig neop auditory tube, middle ear and mastoid air cells",11,2,"Malignant neoplasm of auditory tube, middle ear and mastoid air cells"
"Any malignancy","535731000006116","carcinoma in situ of gums",11,2,"Carcinoma in situ of gums"
"Any malignancy","826691000006117","hodgkin's paragranuloma lymph nodes inguinal region and leg",11,2,"Hodgkin's paragranuloma of lymph nodes of inguinal region and lower limb"
"Any malignancy","729321000006119","malig neop nasal cavities, middle ear and accessory sinuses",11,2,"Malignant neoplasm of nasal cavities, middle ear and accessory sinuses"
"Any malignancy","406265010","malignant neoplasm of other and unspecified sites",11,2,"Malignant neoplastic disease"
"Any malignancy","290753018","carcinoma in situ of anus nos",11,2,"Carcinoma in situ of anus"
"Any malignancy","289710013","hodgkin's disease nos of spleen",11,2,"Hodgkin's disease of spleen"
"Any malignancy","153156013","carcinoma in situ of eustachian tube",11,2,"Carcinoma in situ of eustachian tube"
"Any malignancy","289608016","burkitt's lymphoma of intrapelvic lymph nodes",11,2,"Burkitt's lymphoma of intrapelvic lymph nodes"
"Any malignancy","826921000006112","hodgkin's, lymphocytic-histiocytic pred intra-abdominal node",11,2,"Hodgkin's disease, lymphocytic-histiocytic predominance of intra-abdominal lymph nodes"
"Any malignancy","290839014","carcinoma in situ of skin of lower arm",11,2,"Carcinoma in situ of skin of lower arm"
"Any malignancy","482537012","malignant neoplasm of mesentery",11,2,"Malignant neoplasm of mesentery"
"Any malignancy","288754013","malignant neoplasm of the pouch of douglas",11,2,"Malignant neoplasm of the pouch of Douglas"
"Any malignancy","155452016","malignant neoplasm of pelvic peritoneum",11,2,"Malignant neoplasm of pelvic peritoneum"
"Any malignancy","826491000006115","hodgkin's lymphocytic depletion lymph nodes multiple sites",11,2,"Hodgkin's disease, lymphocytic depletion of lymph nodes of multiple sites"
"Any malignancy","288751017","malignant neoplasm of mesorectum",11,2,"Malignant neoplasm of mesorectum"
"Any malignancy","288749016","malignant neoplasm of mesocaecum",11,2,"Malignant neoplasm of mesocaecum"
"Any malignancy","288748012","malignant neoplasm of mesocolon",11,2,"Malignant neoplasm of mesocolon"
"Any malignancy","289143016","malignant neoplasm of lower-inner quadrant of female breast",11,2,"Malignant neoplasm of lower-inner quadrant of female breast"
"Any malignancy","313221000006117","[m]multicentric basal cell carcinoma",11,2,"[M]Multicentric basal cell carcinoma"
"Any malignancy","292135013","[x]malignant neoplasm overlapping lesion of skin",11,2,"Overlapping malignant neoplasm of skin"
"Any malignancy","215889013","[m]dermatofibrosarcoma nos",11,2,"Dermatofibrosarcoma"
"Any malignancy","153162015","carcinoma in situ of fallopian tube",11,2,"Carcinoma in situ of fallopian tube"
"Any malignancy","1211679013","reticulosarcoma",11,2,"Reticulosarcoma"
"Any malignancy","157072019","mycosis fungoides of intrapelvic lymph nodes",11,2,NA
"Any malignancy","289349013","malignant neoplasm of temporal lobe nos",11,2,"Malignant neoplasm of temporal lobe NOS"
"Any malignancy","289881011","other lymphoid leukaemia",11,2,"Other lymphoid leukaemia"
"Any malignancy","289632011","hodgkin's granuloma of intra-abdominal lymph nodes",11,2,"Hodgkin's granuloma of intra-abdominal lymph nodes"
"Any malignancy","289948014","thrombocytic leukaemia",11,2,"Thrombocytic leukaemia"
"Any malignancy","288450015","malignant neoplasm of other and unspecified parts of mouth",11,2,"Malignant neoplasm of other and unspecified parts of mouth"
"Any malignancy","290752011","carcinoma in situ of rectum or rectosigmoid junction nos",11,2,"Carcinoma in situ of rectum or rectosigmoid junction NOS"
"Any malignancy","292111015","[x]malignant neoplasm of bone and articular cartilage",11,2,"Malignant neoplasm of skeletal system"
"Any malignancy","403700013","other malignant neoplasm of skin",11,2,"Malignant neoplasm of skin"
"Any malignancy","1815391000006112","subcutaneous panniculitic t-cell lymphoma",11,2,"Subcutaneous panniculitic T-cell lymphoma"
"Any malignancy","288707014","malignant neoplasm of hepatic duct",11,2,"Malignant neoplasm of hepatic duct"
"Any malignancy","289441010","malignant neoplasm of abdomen",11,2,"Malignant neoplasm of abdomen"
"Any malignancy","292127010","[x]kaposi's sarcoma of multiple organs",11,2,"[X]Kaposi's sarcoma of multiple organs"
"Any malignancy","288947011","malignant neoplasm of first metatarsal bone",11,2,"Malignant neoplasm of first metatarsal bone"
"Any malignancy","310571000006113","[m]intraosseous carcinoma",11,2,"[M]Intraosseous carcinoma"
"Any malignancy","1230838014","[m]malignant mastocytosis",11,2,"[M]Malignant mastocytosis"
"Any malignancy","2619456011","malignant neoplasm of intrahepatic biliary passages",11,2,"Malignant neoplasm of intrahepatic biliary passages"
"Any malignancy","153141016","carcinoma in situ of descending colon",11,2,"Carcinoma in situ of descending colon"
"Any malignancy","342807011","hepatocellular carcinoma",11,2,"Hepatocellular carcinoma"
"Any malignancy","291959018","[m] peripheral t-cell lymphoma nos",11,2,"Mature (peripheral) T-cell neoplasm"
"Any malignancy","726141000006116","malignant neoplasm of epididymis",11,2,"Malignant neoplasm of epididymis"
"Any malignancy","557401000006113","cin iii - carcinoma in situ of cervix",11,2,"CIN III - carcinoma in situ of cervix"
"Any malignancy","747141000006116","leukaemic reticuloend of lymph nodes of head, face and neck",11,2,"Leukaemic reticuloendotheliosis of lymph nodes of head, face and neck"
"Any malignancy","157746017","reticulosarcoma of intrapelvic lymph nodes",11,2,"Reticulosarcoma of intrapelvic lymph nodes"
"Any malignancy","651081000006111","excision malignant skin tumour",11,2,"Excision of malignant skin tumour"
"Any malignancy","826931000006110","hodgkin's, lymphocytic-histiocytic pred intrapelvic nodes",11,2,"Hodgkin's disease, lymphocytic-histiocytic predominance of intrapelvic lymph nodes"
"Any malignancy","683721000006115","mycosis fungoides of the lymph nodes of head, face and neck",11,2,"Mycosis fungoides of the lymph nodes of head, face and neck"
"Any malignancy","573611000006118","colonic cancer",11,2,"Colonic cancer"
"Any malignancy","826481000006118","hodgkin's lymphocytic depletion lymph nodes inguinal and leg",11,2,"Hodgkin's disease, lymphocytic depletion of lymph nodes of inguinal region and lower limb"
"Any malignancy","727321000006111","malignant neoplasm of ascending colon",11,2,"Malignant tumour of ascending colon"
"Any malignancy","727281000006117","malignant neoplasm of appendix",11,2,"Malignant neoplasm of appendix"
"Any malignancy","292175017","[x]other malignant immunoproliferative diseases",11,2,"Malignant immunoproliferative disease (clinical)"
"Any malignancy","288644018","malignant neoplasm of fundus of stomach",11,2,"Malignant neoplasm of fundus of stomach"
"Any malignancy","725951000006112","malignant neoplasm of descending colon",11,2,"Malignant tumour of descending colon"
"Any malignancy","289156011","malignant neoplasm of nipple or areola of male breast nos",11,2,"Malignant neoplasm of nipple or areola of male breast NOS"
"Any malignancy","510218013","leukaemic reticuloendotheliosis of intrathoracic lymph nodes",11,2,"Leukaemic reticuloendotheliosis of intrathoracic lymph nodes"
"Any malignancy","1228566019","malignant neoplasm of soft tissue of face",11,2,"Malignant neoplasm of soft tissue of face"
"Any malignancy","155447014","malignant neoplasm of parietal pleura",11,2,"Malignant neoplasm of parietal pleura"
"Any malignancy","288548014","malignant neoplasm of opening of auditory tube",11,2,"Malignant neoplasm of opening of auditory tube"
"Any malignancy","725451000006118","malignant neoplasm of jejunum",11,2,"Malignant neoplasm of jejunum"
"Any malignancy","726021000006110","malignant neoplasm of duodenum",11,2,"Malignant tumour of duodenum"
"Any malignancy","721601000006117","malignant neoplasm of small intestine and duodenum",11,2,"Malignant tumour of small intestine"
"Any malignancy","288656017","malignant neoplasm of stomach nos",11,2,"Malignant tumour of stomach"
"Any malignancy","288541015","malignant neoplasm of posterior wall of nasopharynx nos",11,2,"Malignant tumour of posterior wall of nasopharynx"
"Any malignancy","157688015","nodular lymphoma of intrathoracic lymph nodes",11,2,"Nodular lymphoma of intrathoracic lymph nodes"
"Any malignancy","304481000006119","[m]adamantinoma, malignant",11,2,"[M]Adamantinoma, malignant"
"Any malignancy","1231976013","[m]small cell carcinoma, intermediate cell",11,2,"[M]Small cell carcinoma, intermediate cell"
"Any malignancy","638721000000113","siewert type ii adenocarcinoma",11,2,"Siewert type II adenocarcinoma"
"Any malignancy","153295017","carcinoma in situ of prostate",11,2,"Carcinoma in situ of prostate"
"Any malignancy","288650011","malignant neoplasm of greater curve of stomach unspecified",11,2,"Malignant neoplasm of greater curve of stomach unspecified"
"Any malignancy","288827019","malignant neoplasm of lower lobe bronchus",11,2,"Malignant neoplasm of lower lobe bronchus"
"Any malignancy","1815091000006114","other classical hodgkin lymphoma",11,2,"Other classical Hodgkin lymphoma"
"Any malignancy","288641014","malignant neoplasm of pyloric antrum of stomach",11,2,"Malignant neoplasm of pyloric antrum of stomach"
"Any malignancy","289900013","chronic myeloid leukaemia nos",11,2,"Chronic myeloid leukaemia NOS"
"Any malignancy","722341000006119","malignant neoplasm of prepylorus of stomach",11,2,"Malignant neoplasm of prepylorus of stomach"
"Any malignancy","288408015","malignant neoplasm of lip, unspecified, external",11,2,"Malignant neoplasm of lip, unspecified, external"
"Any malignancy","288631011","malignant neoplasm of gastro-oesophageal junction",11,2,"Malignant neoplasm of gastro-oesophageal junction"
"Any malignancy","288632016","malignant neoplasm of cardio-oesophageal junction of stomach",11,2,"Malignant neoplasm of cardio-oesophageal junction of stomach"
"Any malignancy","314311000006118","[m]oncytic adenocarcinoma",11,2,"[M]Oncytic adenocarcinoma"
"Any malignancy","555131000006118","chronic lymphatic leukaemia",11,2,"Chronic lymphoid leukaemia, disease"
"Any malignancy","397818015","h/o: malignant neoplasm (*)",11,2,"H/O: malignant neoplasm (*)"
"Any malignancy","721851000006117","malignant neoplasm of stomach",11,2,"Malignant tumour of stomach"
"Any malignancy","291662018","[m]myoma or myosarcoma nos",11,2,"[M]Myoma or myosarcoma NOS"
"Any malignancy","396541000006115","[x]malignant neoplasm/other specified male genital organs",11,2,"[X]Malignant neoplasm/other specified male genital organs"
"Any malignancy","288608011","malignant neoplasm of lower third of oesophagus",11,2,"Malignant neoplasm of lower third of oesophagus"
"Any malignancy","155332018","malignant neoplasm of lateral wall of oropharynx",11,2,"Malignant neoplasm of lateral wall of oropharynx"
"Any malignancy","289605018","burkitt's lymphoma of intra-abdominal lymph nodes",11,2,"Burkitt's lymphoma of intra-abdominal lymph nodes"
"Any malignancy","725101000006111","malignant neoplasm of hard palate",11,2,"Malignant neoplasm of hard palate"
"Any malignancy","288518011","malignant neoplasm of oropharynx nos",11,2,"Malignant neoplasm of oropharynx NOS"
"Any malignancy","81481000006118","unspec malig neop lymphoid/histiocytic of unspecified site",11,2,"Unspec malig neop lymphoid/histiocytic of unspecified site"
